Project,Location,z [m],qc [MPa],qt [MPa],fs [MPa],u2 [MPa],Qt [-],Fr [%],Bq [-],Ic [-],Vertical total stress [kPa],Vertical effective stress [kPa],Void ratio from CPT [-],Total unit weight [kN/m3],Vs [m/s]
HKN,HKN67-SCPT,13.48,21.8008,21.85086904,0.19902236,0.119212,164.1957977,0.922168846,-0.000889824,1.687988653,269.6,131.43,0.476638108,20,281.21
HKN,HKN67-SCPT,14.47,19.25265385,19.30271138,0.199939385,0.119184615,134.7170983,1.056748601,-0.001467816,1.78560081,289.4,141.0825,0.464103879,20,257.0036558
HKN,HKN67-SCPT,15.47,23.70284615,23.76169946,0.236969308,0.140126923,155.6108,1.021265327,-0.00083755,1.718583912,309.4,150.8325,0.425918295,20,276.56
HKN,HKN67-SCPT,16.48,4.36252,4.5904792,0.11010244,0.54276,26.59283039,2.599356267,0.111659164,2.627379196,329.6,160.68,0.558438227,20,283
HKN,HKN67-SCPT,17.48,3.18332,3.54925424,0.08194432,0.871272,18.77620284,2.584595013,0.216944662,2.731963533,349.6,170.43,0.58912864,20,246.06
HKN,HKN67-SCPT,18.48,5.85528,6.02053488,0.12461604,0.393464,31.35229336,2.272083728,0.048912643,2.519768928,369.6,180.18,0.508876528,20,296.8
HKN,HKN67-SCPT,19.48,11.55996,11.60433216,0.11365392,0.105648,59.00960397,1.059771495,-0.008533214,2.035424079,389.6,189.93,0.512824916,20,284.75
HKN,HKN67-SCPT,20.96,36.53268,36.61348464,0.23577284,0.192392,177.0349163,0.64747066,-0.000692682,1.488358719,419.2,204.36,0.381322943,20,287.8663881
HKN,HKN65-SCPT,5.49,19.16480769,19.18813223,0.118954846,0.055534615,356.5871428,0.623934197,-4.43E-05,1.472620916,109.8,53.5275,0.749132745,20,224.47
HKN,HKN65-SCPT,7.48,17.22884,17.2433384,0.11787128,0.03452,234.0101229,0.697203266,-0.002718152,1.579697172,149.6,72.93,0.684333628,20,210.95
HKN,HKN65-SCPT,8.48,15.95372,15.99061448,0.12452576,0.087844,191.6212387,0.786773777,6.22E-05,1.659948422,169.6,82.68,0.647040704,20,254.8906975
HKN,HKN65-SCPT,9.48,23.25812,23.29758824,0.15939892,0.093972,250.0158849,0.689887327,-0.00013839,1.519656523,189.6,92.43,0.577894733,20,284.42
HKN,HKN65-SCPT,10.47,22.78461538,22.82903523,0.160984692,0.105761539,221.6628783,0.711651322,-6.76E-05,1.550673989,209.4,102.0825,0.557956751,20,289.18
